"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1.2","Valor da produção","Baturité",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Beberibe",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Bela Cruz",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Boa Viagem",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Brejo Santo",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Camocim",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Campos Sales",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Canindé",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Capistrano",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Caridade",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Cariré",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Caririaçu",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Cariús",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Carnaubal",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Cascavel",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Catarina",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Catunda",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Caucaia",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Cedro",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Chaval",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Choró",,,,,,,,,,"-","-","-","...","-","R$",1000
"1.1.2","Valor da produção","Chorozinho",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Coreaú",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Crateús",,,,,,,,,,"3","3","-","...","...","R$",1000
"1.1.2","Valor da produção","Crato",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Croatá",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Cruz",,,,,,,,,,"-","-","-","-","-","R$",1000
"1.1.2","Valor da produção","Deputado Irapuan Pinheiro",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Ererê",,,,,,,,,,"-","-","-","...","...","R$",1000
"1.1.2","Valor da produção","Eusébio",,,,,,,,,,"-","-","-","...","...","R$",1000
