"Posição","Nome","Localidade","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1","Quantidade produzida","Salitre","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Santana do Acaraú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Santana do Cariri","461","612","1000","900","1400","1600","1539","1880","1500","700","3000","602","315","615","frutos",1000
"1.1","Quantidade produzida","Santa Quitéria","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","São Benedito","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","São Gonçalo do Amarante","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","São João do Jaguaribe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","São Luís do Curu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Senador Pompeu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Senador Sá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Sobral","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Solonópole","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tabuleiro do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tamboril","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tarrafas","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tauá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tejuçuoca","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tianguá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Trairi","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Tururu","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Ubajara","16","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Umari","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Umirim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Uruburetama","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Uruoca","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Varjota","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Várzea Alegre","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.1","Quantidade produzida","Viçosa do Ceará","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","frutos",1000
"1.2","Valor da produção","Abaiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Acarape","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Acaraú","475","99999999999992","168","191","171","750","375","546","553","1059","363","387","59","60","R$",1000
"1.2","Valor da produção","Acopiara","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Aiuaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Alcântaras","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Altaneira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Alto Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Amontada","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Antonina do Norte","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Apuiarés","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Aquiraz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Aracati","99999999999992","99999999999992","-","-","-","1620","4950","2253","2254","2275","-","-","-","-","R$",1000
"1.2","Valor da produção","Aracoiaba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Ararendá","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Araripe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Aratuba","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Arneiroz","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Assaré","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Aurora","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Baixio","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Banabuiú","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Barbalha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Barreira","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Barro","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Barroquinha","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Baturité","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Beberibe","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Bela Cruz","143","120","194","127","-","-","-","-","-","-","-","108","-","-","R$",1000
"1.2","Valor da produção","Boa Viagem","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Brejo Santo","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Camocim","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
"1.2","Valor da produção","Campos Sales","99999999999992","99999999999992","-","-","-","-","-","-","-","-","-","-","-","-","R$",1000
