"Posição","Nome","Localidade","2005","2006","2008","2009","2013","2014","2015","2016","2017","Unidade","Multiplicador"
"1.1","empenhadas","Sobral",,,,"302477","463307","516461","528376.75199","567114.2022","574657","R$",1000
"1.1","empenhadas","Solonópole",,,,"20548","33180","42010","34608.28551","42710.0656","49746","R$",1000
"1.1","empenhadas","Tabuleiro do Norte",,,,"28201","44010","49818","48631.40375","49724.81282","53069","R$",1000
"1.1","empenhadas","Tamboril",,,,"36123","45525","50179","50779.69506","55939.06826","68105","R$",1000
"1.1","empenhadas","Tarrafas",,,,"14612","19606","19930","21900.11595","19961.79855","22656","R$",1000
"1.1","empenhadas","Tauá",,,,"69232","99449","127322","138212.97191","162120.14236","135713","R$",1000
"1.1","empenhadas","Tejuçuoca",,,,"22832","33165","36813","41155.58241","43271.47679","43425","R$",1000
"1.1","empenhadas","Tianguá",,,,"51621","103538","129283","136179.83951","156315.27639","148371","R$",1000
"1.1","empenhadas","Trairi",,,,"46711","67374","72889","92485.54581","96777.48723","107187","R$",1000
"1.1","empenhadas","Tururu",,,,"15047","26844","30122","30593.78656","32064.35444","31970","R$",1000
"1.1","empenhadas","Ubajara",,,,"32553","46308","57226","62163.86476","69701.30299","63907","R$",1000
"1.1","empenhadas","Umari",,,,"10078","13567","14972","16605.9866","17840.69645","18511","R$",1000
"1.1","empenhadas","Umirim",,,,"20614","29203","35194","37481.59678","37767.86945","45115","R$",1000
"1.1","empenhadas","Uruburetama",,,,"26239","33830","36984","41424.09013","40006.10086","42869","R$",1000
"1.1","empenhadas","Uruoca",,,,"19702","23548","26314","28991.72935","31685.3266","34549","R$",1000
"1.1","empenhadas","Varjota",,,,"20521","32570","40387","39284.10441","42680.94951","46446","R$",1000
"1.1","empenhadas","Várzea Alegre",,,,"39783","56810","63779","63900.06638","65213.6398","73711","R$",1000
"1.1","empenhadas","Viçosa do Ceará",,,,"55127","79093","117867","104508.32235","116906.16456","104188","R$",1000
"1.1.1","Capital","Abaiara",,,,"1607","3012","3356","2503.73866","7559.32915","1535","R$",1000
"1.1.1","Capital","Acarape",,,,"457","1108","2619","1816.63934","1761.81166","1391","R$",1000
"1.1.1","Capital","Acaraú",,,,"2211","3683","11107","4238.91002","11486.82702","4040","R$",1000
"1.1.1","Capital","Acopiara",,,,"5286","6315","5263","5964.91447","6615.4544","4644","R$",1000
"1.1.1","Capital","Aiuaba",,,,"1613","1847","1847","3799.1253","1240.1927","1653","R$",1000
"1.1.1","Capital","Alcântaras",,,,"941","721","1617","2273.11754","1468.51209","1482","R$",1000
"1.1.1","Capital","Altaneira",,,,"1346","1099","1828","3790.25478","2259.01027","1988","R$",1000
"1.1.1","Capital","Alto Santo",,,,"8612","3540","7910","10599.1876","10791.83943","3955","R$",1000
"1.1.1","Capital","Amontada",,,,"7385","2917","8681","9168.67624","13141.69038","9347","R$",1000
"1.1.1","Capital","Antonina do Norte",,,,"1004","745","1437","1123.98503","1062.45968","808","R$",1000
"1.1.1","Capital","Apuiarés",,,,"1790","1962","5315","2424.67522","3395.08521","2145","R$",1000
"1.1.1","Capital","Aquiraz",,,,"14683","11483","11671","8470.59074","23657.4003","7345","R$",1000
"1.1.1","Capital","Aracati",,,,"4683","4745","8818","8088.0184","7599.46118","8114","R$",1000
"1.1.1","Capital","Aracoiaba",,,,"1450","3108","3865","7541.90839","4215.37987","5121","R$",1000
"1.1.1","Capital","Ararendá",,,,"2001","1873","2629","1927.25373","1166.04624","2031","R$",1000
"1.1.1","Capital","Araripe",,,,"1053","7161","4535","996.33185","3045.63746","6274","R$",1000
"1.1.1","Capital","Aratuba",,,,"1549","963","983","1336.68751","2258.0378","1914","R$",1000
"1.1.1","Capital","Arneiroz",,,,"239","1318","1034","1351.25511","573.81548","719","R$",1000
"1.1.1","Capital","Assaré",,,,"3284","2983","6535","5295.23566","2124.87731","2032","R$",1000
"1.1.1","Capital","Aurora",,,,"2497","3692","3700","3005.1824","3360.22444","2224","R$",1000
"1.1.1","Capital","Baixio",,,,"541","811","1100","1136.73054","1750.59832","2598","R$",1000
"1.1.1","Capital","Banabuiú",,,,"1476","3027","1719","3037.17785","3255.44916","3777","R$",1000
"1.1.1","Capital","Barbalha",,,,"1139","7657","8089","9053.33604","8415.49936","5448","R$",1000
"1.1.1","Capital","Barreira",,,,"1034","2915","2372","2691.22695","3184.25392","4992","R$",1000
"1.1.1","Capital","Barro",,,,"1538","1963","2472","1692.09259","1555.24406","1371","R$",1000
"1.1.1","Capital","Barroquinha",,,,"410","2468","1574","1511.44294","2791.51414","2294","R$",1000
"1.1.1","Capital","Baturité",,,,"1670","2578","99999999999997","1323.04779","2205.176","1801","R$",1000
"1.1.1","Capital","Beberibe",,,,"4470","4221","4981","8644.12768","7476.14847","2722","R$",1000
"1.1.1","Capital","Bela Cruz",,,,"2783","2569","6195","7715.88075",,"2519","R$",1000
"1.1.1","Capital","Boa Viagem",,,,"2575","4919","3105","4744.88863","4055.27969","2893","R$",1000
"1.1.1","Capital","Brejo Santo",,,,"7541","6534","34135","14685.73663","13511.54921","9658","R$",1000
"1.1.1","Capital","Camocim",,,,"7866","4650","8714","10074.46437","16532.26038","27579","R$",1000
"1.1.1","Capital","Campos Sales",,,,"1710","1963","5394","4055.33205","6468.27157","4356","R$",1000
"1.1.1","Capital","Canindé",,,,"7492","5801","8438","4796.26985","6245.986","4501","R$",1000
"1.1.1","Capital","Capistrano",,,,"1674","3236","1796","2919.94255","3212.49314","2002","R$",1000
"1.1.1","Capital","Caridade",,,,"1701","1990","3757",,"2943.44562",,"R$",1000
"1.1.1","Capital","Cariré",,,,"3274","9183","21510","14305.33044","8048.83167","5591","R$",1000
"1.1.1","Capital","Caririaçu",,,,"7550","2833","3239","5739.43192","4810.41161","1719","R$",1000
"1.1.1","Capital","Cariús",,,,"3295","2439","2820","4721.52395","1783.21447","5762","R$",1000
"1.1.1","Capital","Carnaubal",,,,"2005","4037","2759","3084.30654","2420.52385","1329","R$",1000
"1.1.1","Capital","Cascavel",,,,"4698","6341","4333","4607.01493","4161.99745","5533","R$",1000
"1.1.1","Capital","Catarina",,,,"3708","5449","3454","2384.08185","5273.10351","6163","R$",1000
"1.1.1","Capital","Catunda",,,,"964","1185","1683","1622.58779","4951.72602","841","R$",1000
"1.1.1","Capital","Caucaia",,,,"26127","60377","71187","87637.27502","12674.23926","38425","R$",1000
"1.1.1","Capital","Cedro",,,,"3494","3092","5772","4032.47139","3035.20488","3632","R$",1000
"1.1.1","Capital","Chaval",,,,"1720","2465","4418","2328.4948","2441.39597","2000","R$",1000
"1.1.1","Capital","Choró",,,,"597","1588","99999999999997","4187.86126","2799.48497","1808","R$",1000
"1.1.1","Capital","Chorozinho",,,,"3696","6330","6536","3955.57442","1470.52134","3917","R$",1000
"1.1.1","Capital","Coreaú",,,,"3126","3431","3071","7598.57677","4524.51925","2376","R$",1000
"1.1.1","Capital","Crateús",,,,"4644","6953","9427","9688.23868","9079.84038","5820","R$",1000
"1.1.1","Capital","Crato",,,,"6375","8361","12426","12521.22833","5119.67528","5947","R$",1000
"1.1.1","Capital","Croatá",,,,"2796","1305","2333","3779.98444","5937.42812","3705","R$",1000
"1.1.1","Capital","Cruz",,,,"4549","3990","2993","6063.58846","1916.55686","5080","R$",1000
"1.1.1","Capital","Deputado Irapuan Pinheiro",,,,"1199","2313","3107","3434.08083","2204.3296","2118","R$",1000
"1.1.1","Capital","Ererê",,,,"1012","1846","99999999999997","2847.63389","1817.65515","1604","R$",1000
"1.1.1","Capital","Eusébio",,,,"10517","3334","8157","7139.04367","12276.1426","4938","R$",1000
"1.1.1","Capital","Farias Brito",,,,"4373","9989","6810","7970.61872","8532.92204","3017","R$",1000
"1.1.1","Capital","Forquilha",,,,"4140","2514","4343","4218.65766","2830.1538","2755","R$",1000
"1.1.1","Capital","Fortaleza",,,,"285234","439534","567374","594436.29856","561654.38053","486928","R$",1000
"1.1.1","Capital","Fortim",,,,"1348","2377","2518","2503.43805","8499.66687","2426","R$",1000
"1.1.1","Capital","Frecheirinha",,,,"1464","1159","7271","1878.84204","4512.07231","4092","R$",1000
"1.1.1","Capital","General Sampaio",,,,"1690","2320","3226","504.05162","1764.10454","1186","R$",1000
"1.1.1","Capital","Graça",,,,"1838","2398","3315","1242.38688","4535.60031","4022","R$",1000
"1.1.1","Capital","Granja",,,,"3524","9207","24681","15208.1263","19859.82116","9420","R$",1000
"1.1.1","Capital","Granjeiro",,,,"1241","1248","2125","1585.56346","2335.7059","1220","R$",1000
"1.1.1","Capital","Groaíras",,,,"1319","1523","2999","1893.83094","4019.84532","2136","R$",1000
"1.1.1","Capital","Guaiúba",,,,"2129","2230","3594","1516.98298","3207.82898","4844","R$",1000
"1.1.1","Capital","Guaraciaba do Norte",,,,"3109","6166","5183","8155.40531","6640.99137","8471","R$",1000
"1.1.1","Capital","Guaramiranga",,,,"1084","1520","562","327.83699","690.49381","1150","R$",1000
"1.1.1","Capital","Hidrolândia",,,,"1405","1612","1627","2830.09571","1793.72665","1274","R$",1000
"1.1.1","Capital","Horizonte",,,,"10915","23518","23609","26999.08406","30195.07341","14159","R$",1000
"1.1.1","Capital","Ibaretama",,,,"1301","2125","732","421.82226","1057.81024","678","R$",1000
"1.1.1","Capital","Ibiapina",,,,"3776","1632","6549","6905.54072","2694.37353","1855","R$",1000
"1.1.1","Capital","Ibicuitinga",,,,"631","1485","1572","1277.23432","560.06187","1284","R$",1000
"1.1.1","Capital","Icapuí",,,,"3898","1838","2316","9008.9658","16188.45277","15165","R$",1000
"1.1.1","Capital","Icó",,,,"4559","6459","7652","5989.88746","4982.95074","4185","R$",1000
"1.1.1","Capital","Iguatu",,,,"16051","30798","22732","17602.52133","31129.45201","12707","R$",1000
"1.1.1","Capital","Independência",,,,"2695","1298","3255","2377.21836","3016.40521","2268","R$",1000
"1.1.1","Capital","Ipaporanga",,,,"3652","1913","4367","1946.99771","1960.27797","2585","R$",1000
"1.1.1","Capital","Ipaumirim",,,,"730","1207","1402","1576.87155","983.8419","448","R$",1000
"1.1.1","Capital","Ipu",,,,"7215","3272","4428","4080.58337","6607.21034","4196","R$",1000
"1.1.1","Capital","Ipueiras",,,,"5593","2638","99999999999997","3661.76745","8671.1383","5136","R$",1000
"1.1.1","Capital","Iracema",,,,"1888","2339","3587","4663.20621","5720.36987","6224","R$",1000
