"Nome","Localidade","2008","2009","2010","2011","2012","2013","2014","Unidade","Multiplicador"
"Taxa de mortalidade infantil","Mulungu","25.32","12.05","6.94","7.81","0","29.85","20.27","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Nova Olinda","14.81","10.56","7.6","21.01","8.26","7.63","20.49","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Nova Russas","14.42","7.84","6.8","11.88","11.85","13.09","20.9","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Novo Oriente","14.74","23.2","8.93","16.53","17.33","25.07","21.39","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Ocara","10","9.43","2.93","16.29","14.04","14.49","13.47","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Orós","6.8","22.36","6.47","16.72","14.55","13.84","7.63","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pacajus","17.63","11.03","18.38","6.98","16.63","8.22","20.62","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pacatuba","22.73","10.61","14.97","10.44","18.07","14.01","7.45","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pacoti","14.93","5.38","10.81","0","6.49","0","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pacujá","11.36","10.31","24.1","0","22.73","12.5","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Palhano","44.25","7.87","0","0","19.23","0","27.03","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Palmácia","19.05","9.52","46.88","16.53","15.04","19.42","9.26","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Paracuru","10.57","14.81","15.18","12.26","3.76","10.95","11.99","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Paraipaba","6.47","14.08","6.67","15.38","13.79","9.32","9.43","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Parambu","13.31","16.63","8.25","4.56","5.06","4.93","5.01","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Paramoti","5.49","20.83","6.8","37.59","16.39","13.99","34.48","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pedra Branca","22.22","19.26","15.65","22.57","18.58","11.11","18.35","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Penaforte","25.16","20.83","10.75","5.99","11.24","11.24","11.83","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pentecoste","22.51","14.65","3.96","7.5","15.09","14.26","13.51","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pereiro","8.58","8.33","13.51","19.51","9.26","15","4.37","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pindoretama","20.34","21.98","9.93","10.42","17.42","6.73","3.18","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Piquet Carneiro","11.56","11.24","18.52","11.24","11.7","19.23","6.45","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Pires Ferreira","9.26","8.93","19.61","0","17.7","9.26","9.62","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Poranga","14.85","32.09","20.51","31.25","24.39","6.62","25.64","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Porteiras","20.83","15.38","23.81","7.84","3.82","14.93","11.28","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Potengi","14.42","29.94","25.25","20.27","7.09","26.14","29.41","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Potiretama","0","24.69","12.35","24.1","0","0","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Quiterianópolis","23.6","10.71","13.61","14.18","27.27","21.74","24.19","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Quixadá","23.48","13.06","14.26","20.03","8.37","22.71","18.67","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Quixelô","8.23","16.06","4.27","38.46","4.9","16.22","11.76","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Quixeramobim","18.35","11.09","10.65","20.37","13.1","11.87","13.59","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Quixeré","27.03","16.13","3.51","10","3.68","3.97","23.81","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Redenção","21.79","11.44","8.64","32.18","17.17","21.22","15.98","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Reriutaba","14.98","23.08","13.65","0","12.1","17.62","28.69","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Russas","15.26","14.82","10.29","9.31","10.4","12.67","7.11","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Saboeiro","26.52","19.08","4.35","14.85","27.4","14.56","15.87","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Salitre","17.09","43.77","17.92","31.01","33.33","16.23","20.75","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Santana do Acaraú","9.88","20.75","22.4","10.5","18.63","22.77","33.33","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Santana do Cariri","18.87","19.61","28.48","35.24","15.87","14.65","10.47","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Santa Quitéria","15.36","15.54","17.36","15.71","13.89","16.64","16.72","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","São Benedito","22.86","12.97","9.43","14.56","22.99","21.01","10.65","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","São Gonçalo do Amarante","13.42","16.57","10.13","16.8","5.09","15.31","5.82","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","São João do Jaguaribe","12.2","23.53","13.33","24.1","0","0","13.89","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","São Luís do Curu","4.67","0","18.07","22.99","12.74","12.99","0","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Senador Pompeu","17.63","22.6","31.85","12.99","5.54","16.84","22.51","óbitos por mil nascidos vivos",1
"Taxa de mortalidade infantil","Senador Sá","13.79","9.26","8.85","0","8.13","9.26","0","óbitos por mil nascidos vivos",1
