codigo,A�ude,Munic�pio,Cap(m�),Sangria,CESC,CIA,CA,VEC,VIA,VA,VEC(%),V.Inicio(%),V.Atual(%),,,,
181,ROSARIO,Lavras da Mangabeira,11/07/2013,47.20,288.00,283.18,283.54,282.81,-39.0810678932,-6.88895926968,20.81,22.3,19.28,0,44.09,47.25,40.84
190,SÃO DOMINGOS II,Caririaçu,11/07/2013,2.25,602.26,594.74,595.43,594.00,-39.28301,-7.029354,0.59,0.69,0.49,0,26.12,30.84,21.94
75,TATAJUBA,Icó,05/07/2013,2.72,220.50,217.87,218.29,217.66,-39.08259,-6.415912,1.39,1.54,1.31,0,50.95,56.73,48.32
23,THOMÁS OSTERNE,Crato,11/07/2013,28.78,441.00,430.39,430.43,N.I.,-39.4869088371,-7.09077807818,5.04,5.1,N.I.,0,17.53,17.72,N.I.
162,UBALDINHO,Cedro,08/07/2013,31.80,295.00,292.21,292.85,292.00,-39.2375639263,-6.58385878059,19.97,22.68,19.08,40,62.8,71.33,60
69,JABURU I,Ubajara,11/07/2013,136.76,716.38,709.99,711.07,709.74,-41.1133035668,-3.86508767029,82.28,90.8,80.37,286,60.16,66.4,58.76
202,BARRAGEM DO BATALHÃO,CRATEÚS,11/07/2013,1.60,100.00,98.79,,98.63,-40.65618,-5.19441,0.78,0,0.72,N.I.,48.76,0,44.96
163,BARRA VELHA,Independência,11/07/2013,99.50,333.60,327.37,328.05,327.22,-40.173444,-5.293535,17.74,22.75,16.67,40,17.83,22.86,16.75
53,CARNAUBAL,Crateús,11/07/2013,82.00,300.00,289.74,291.63,288.88,-40.668200617,-5.28008132502,0.43,2.37,0.16,200,0.53,2.89,0.2
133,COLINA,Quiterianópolis,10/07/2013,3.25,98.00,91.45,92.47,91.20,-40.712804,-5.840381,0.11,0.22,0.09,0,3.4,6.8,2.71
34,CUPIM,Independência,11/07/2013,4.55,98.00,91.94,93.10,91.64,-40.204276,-5.470685,0.09,0.28,0.06,32,1.89,6.18,1.42
172,FLOR DO CAMPO,Novo Oriente,11/07/2013,105.00,351.00,343.46,344.22,343.24,-40.6717961812,-5.57067277258,16.16,20.76,15.13,25,15.39,19.77,14.4
52,JABURU II,Independência,11/07/2013,106.00,102.08,95.44,96.17,95.26,-40.4790214295,-5.41692977208,4.73,9.36,4.43,70,4.47,8.83,4.18
54,REALEJO,Crateús,11/07/2013,31.55,327.00,317.69,318.20,317.57,-40.8050668199,-5.26110457213,2.64,3.25,2.51,0,8.37,10.31,7.97
185,SÃO JOSÉ III,Ipaporanga,11/07/2013,7.96,102.00,94.89,95.39,94.74,-40.77043,-4.897313,0.89,1.25,0.8,0,11.2,15.69,10.04
66,SUCESSO,Tamboril,11/07/2013,10.00,100.00,,,N.I.,-40.5240408341,-4.9552218928,0,0,N.I.,0,0,0,N.I.
