Código,Espacialidades,Mortalidade infantil 1991,Mortalidade infantil 2000,Mortalidade infantil 2010,Taxa de fecundidade total 1991,Taxa de fecundidade total 2000,Taxa de fecundidade total 2010,Taxa de envelhecimento 1991,Taxa de envelhecimento 2000,Taxa de envelhecimento 2010
2310506,Pedra Branca,85.78,49.65,21.6,3.81,2.57,2.17,6.54,7.81,9.68
2310605,Penaforte,60.05,37.93,24.6,5.72,3.01,2.71,4.97,6.23,7.32
2310704,Pentecoste,88.96,53.37,29.4,4.22,3.14,2.43,5.8,6.88,8.28
2310803,Pereiro,62.19,46.24,22.1,4.07,2.53,2.12,6.47,7.62,9.72
2310852,Pindoretama,68.39,46.66,25.7,4.02,3.21,2.19,6.44,7.06,9.18
2310902,Piquet Carneiro,66.96,47.3,21.6,4.54,2.49,1.9,7.69,9.13,10.51
2310951,Pires Ferreira,80.58,49.42,23.2,5.97,3.73,2.36,7.46,9.3,10.81
2311009,Poranga,80.58,49.42,27.2,5.97,3.65,2.49,5.46,7.03,8.82
2311108,Porteiras,69.94,41.17,23.9,4.02,2.97,2.32,5.77,7.18,9.27
2311207,Potengi,63.62,45.65,24.9,4.09,2.72,2.43,6.64,8.1,9.07
2311231,Potiretama,62.19,46.24,25.8,4.34,3.22,2.35,5.48,6.35,7.67
2311264,Quiterianópolis,66.78,36.88,22.3,4.25,3.31,2.48,5.78,7.26,9.53
2311306,Quixadá,61.9,34.53,22.2,4.61,3.79,2.08,6.33,6.99,8.09
2311355,Quixelô,70.97,43.75,31.2,5.06,2.99,2.42,5.63,7.2,9.89
2311405,Quixeramobim,57.66,43.61,20,4.11,3.14,2.11,6.46,7.75,9.04
2311504,Quixeré,54.9,37.93,22.4,3.9,3.07,2.33,7.01,6.88,6.95
2311603,Redenção,65.87,43.33,26.5,4.6,3.65,2.06,6,7.2,8.86
2311702,Reriutaba,56.93,38.22,24.6,4.84,3.25,2.18,8.53,9.48,10.76
2311801,Russas,54.1,31.29,19.8,3.45,3.38,1.85,6.31,6.76,7.31
2311900,Saboeiro,98.87,64.71,33.3,5.55,3.67,2.63,6.53,6.89,9.48
2311959,Salitre,77.16,56.1,29.9,5.67,3.93,2.63,5.24,5.57,7.17
2312007,Santana do Acaraú,83.03,47.85,25.6,4.65,3.73,2.34,6.18,6.58,8.23
2312106,Santana do Cariri,69.94,45.29,21.6,5.92,4.1,2.46,6.07,6.74,8.72
2312205,Santa Quitéria,70.87,41.14,22.3,5.29,3.54,2.55,6.15,7.34,9.1
2312304,São Benedito,80.83,55.86,24.1,5.04,4.09,2.53,6.17,7.2,8.24
2312403,São Gonçalo do Amarante,78.08,50.06,22.3,5.16,2.53,2.22,5.54,6.24,6.72
2312502,São João do Jaguaribe,54.9,30.32,20.8,2.62,2.17,1.52,8.95,9.75,12.43
2312601,São Luís do Curu,80.48,55.86,32.4,4.3,2.78,2.22,6.18,7.54,8.86
2312700,Senador Pompeu,85.78,56.43,23,3.66,2.97,1.94,7.58,8.36,10.67
2312809,Senador Sá,65.61,44.37,29.2,4.88,4.08,2.45,6,6.62,7.57
2312908,Sobral,66.78,39.01,13.58,4.06,3.19,1.85,4.97,5.48,6.09
2313005,Solonópole,69.03,47.3,25.8,3.82,2.57,1.98,7.17,8.56,10.97
2313104,Tabuleiro do Norte,54.9,31.29,19.8,3.77,2.78,2,5.92,7.01,8.26
2313203,Tamboril,70.87,40.38,21.7,4.04,3.28,2.43,6.32,7.9,9.89
2313252,Tarrafas,76.42,64.67,26.4,3.73,2.66,1.74,5.35,6.9,9.48
2313302,Tauá,55.21,36.25,22.5,4.01,3.08,2.06,5.63,7.58,9.88
2313351,Tejuçuoca,74.24,52,27.9,5.62,3.92,2.57,5.88,6.29,7.73
2313401,Tianguá,68.43,44.81,23.4,4.32,3.31,2.51,5.17,5.44,6.45
2313500,Trairi,59.71,38.89,28.5,7.84,4.21,2.74,5.44,6.27,7.83
2313559,Tururu,65.73,46.97,24.8,4.56,3.3,2.57,5.89,6.95,8.42
2313609,Ubajara,72.46,43.6,23.2,5.45,3.39,2.48,6.32,7.16,7.81
2313708,Umari,95.57,59.08,21.8,4.86,3.13,1.9,6.03,7.85,11.65
2313757,Umirim,98.91,64.67,26.3,5.94,3.28,2.86,5.51,6.74,7.28
2313807,Uruburetama,65.73,47.16,24.8,4.22,3.02,2.61,5.75,6.7,7.07
2313906,Uruoca,70.75,47.96,27.4,4.87,4.55,2.79,6.28,6.68,7.93
2313955,Varjota,56.93,44.81,30.7,5.43,4.01,2.43,7.75,8.27,10.33
2314003,Várzea Alegre,70.99,45.92,24.9,3.9,2.77,2.13,6.82,8.24,10.91
2314102,Viçosa do Ceará,71.29,45.38,25.9,6.06,4.15,2.82,5.71,6.39,7.54
